Candle Compra: 6072, Candle Venda: 6092, Horário Compra: 2024-01-05 05:12:00, Horário Venda: 2024-01-05 05:32:00, Preço Compra: 216658, Preço Venda: 216495, Percentual: -0.08%
Candle Compra: 6106, Candle Venda: 6142, Horário Compra: 2024-01-05 05:46:00, Horário Venda: 2024-01-05 06:22:00, Preço Compra: 216650, Preço Venda: 217090, Percentual: 0.20%
Candle Compra: 6153, Candle Venda: 6184, Horário Compra: 2024-01-05 06:33:00, Horário Venda: 2024-01-05 07:04:00, Preço Compra: 217327, Preço Venda: 217191, Percentual: -0.06%
Candle Compra: 6198, Candle Venda: 6201, Horário Compra: 2024-01-05 07:18:00, Horário Venda: 2024-01-05 07:21:00, Preço Compra: 217189, Preço Venda: 216877, Percentual: -0.14%
Candle Compra: 6221, Candle Venda: 6232, Horário Compra: 2024-01-05 07:41:00, Horário Venda: 2024-01-05 07:52:00, Preço Compra: 216470, Preço Venda: 216164, Percentual: -0.14%
Candle Compra: 6245, Candle Venda: 6280, Horário Compra: 2024-01-05 08:05:00, Horário Venda: 2024-01-05 08:40:00, Preço Compra: 215870, Preço Venda: 216222, Percentual: 0.16%
Candle Compra: 6301, Candle Venda: 6307, Horário Compra: 2024-01-05 09:01:00, Horário Venda: 2024-01-05 09:07:00, Preço Compra: 216486, Preço Venda: 215950, Percentual: -0.25%
Candle Compra: 6313, Candle Venda: 6384, Horário Compra: 2024-01-05 09:13:00, Horário Venda: 2024-01-05 10:24:00, Preço Compra: 216350, Preço Venda: 217434, Percentual: 0.50%
Candle Compra: 6413, Candle Venda: 6427, Horário Compra: 2024-01-05 10:53:00, Horário Venda: 2024-01-05 11:07:00, Preço Compra: 216732, Preço Venda: 216223, Percentual: -0.23%
Candle Compra: 6439, Candle Venda: 6440, Horário Compra: 2024-01-05 11:19:00, Horário Venda: 2024-01-05 11:20:00, Preço Compra: 216057, Preço Venda: 215452, Percentual: -0.28%
